Tue Oct 20 10:05:49 +0000 2020	1318493618949292032	1318493618949292032	@NCDCgov with everywhere being blocked, what happens to those who have isolated and paid but might not be able to r… https://t.co/q2o5nAV7Y6	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	705694814612938752	705694814612938752	NCDCgov	None	None	None	None	1007550127	1007550127	obi1	ikezeobi	None	I am just me :D	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Sun Oct 18 18:34:07 +0000 2020	1317896757670416386	1317896757670416386	Lass lass #CovidNigeria is a fraud or #EndsSARS youth are immune to it?	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	401359277	401359277	Sammy	Talk_2_Sammy	None	E-commerce, Strong supporter of digital currency. 5G & Digital currency is the future	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu Oct 01 09:09:09 +0000 2020	1311593989078953984	1311593989078953984	When #COVIDNigeria made them vulnerable, a group of photographers and writers turned to art to create mental health… https://t.co/o5VM0ekeOO	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	1311593542058414081	1311593542058414081	1060820030802354176	1060820030802354176	folionigeria	None	None	None	None	1060820030802354176	1060820030802354176	Folio Nigeria	folionigeria	Lagos, Nigeria	@cnn's exclusive affiliate in Nigeria. Culture, places, art, food, business, society. Telling multifocal African stories with heart and bite.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu Sep 24 03:48:44 +0000 2020	1308976638743511040	1308976638743511040	Mutum guda 111 ne sun kamu da cutar #coronavirus a jiya Laraba a kasar Najeriya.#COVID19 #covidnigeria https://t.co/u0pc8zUVbr	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	1294681930840104960	1294681930840104960	Harshen mu Hausa ne	harshenmuhausa	Ƙasar Najeriya	Ku karanta labarai kasa da duniya da kuma nishadi da hotuna da bidiyo.|Sako: harshenmuhausane@gmail.com|Lambar waya: 08062412774| #HarshenmuHausane	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	in
Tue Sep 08 06:50:58 +0000 2020	1303224290935013377	1303224290935013377	us.We celebrate our partners, it's our win, it's our story.#InternationalLiteracyDay… https://t.co/qkexc11n9F	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1303224287466344448	1303224287466344448	755921329266851840	755921329266851840	oakbridgefound	None	None	None	None	755921329266851840	755921329266851840	Oakbridge Foundation	oakbridgefound	Mpape, Nigeria	Promoting inclusion by providing free, quality education for indigents. We believe in dream come true.#BRIDGEFB: Oakbridge FoundationIG: @oakbridgefoundation	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Sat Aug 22 11:12:12 +0000 2020	1297129438350639104	1297129438350639104	COVID-19: Cases in Nigeria shoot to 51,304#Sobi1019fm #Sobi1019fmIlorin #COVIDNigeria https://t.co/2q39L5pDXz	False	<a href="https://www.hootsuite.com" rel="nofollow">Hootsuite Inc.</a>	None	None	None	None	None	None	None	None	None	881071149358206977	881071149358206977	Sobi 101.9FM	sobi101_9fm	Sobi Hill, Off Shao Rd, Ilorin	We are a one stop platform for entertainment, news, information & standard broadcast practice.   🎙☎️07033310406 🎙☎️09050904565	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Sat Aug 22 00:20:00 +0000 2020	1296965307618201600	1296965307618201600	Coronavirus Case update, details here 👇👇👇https://t.co/u4Nm3TMZtJ#COVID19 #coronaupdates #covidNigeria #TakeResponsibility	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	138354637	138354637	Namagic.com	Namagiconline	Lagos,Nigeria	Have you visited http://www.namagic.com today?	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Fri Aug 21 09:23:17 +0000 2020	1296739640569888770	1296739640569888770	NCDC confirms 476 COVID-19 new cases, seven deaths#Sobi1019fm #Sobi1019fmIlorin #COVIDNigeria https://t.co/HSxvHOiRlN	False	<a href="https://www.hootsuite.com" rel="nofollow">Hootsuite Inc.</a>	None	None	None	None	None	None	None	None	None	881071149358206977	881071149358206977	Sobi 101.9FM	sobi101_9fm	Sobi Hill, Off Shao Rd, Ilorin	We are a one stop platform for entertainment, news, information & standard broadcast practice.   🎙☎️07033310406 🎙☎️09050904565	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu Aug 20 10:07:44 +0000 2020	1296388437990416384	1296388437990416384	593 confirmed new cases of COVID-19#Sobi1019fm #Sobi1019fmIlorin #COVIDNigeria https://t.co/i4cqHA7W4I	False	<a href="https://www.hootsuite.com" rel="nofollow">Hootsuite Inc.</a>	None	None	None	None	None	None	None	None	None	881071149358206977	881071149358206977	Sobi 101.9FM	sobi101_9fm	Sobi Hill, Off Shao Rd, Ilorin	We are a one stop platform for entertainment, news, information & standard broadcast practice.   🎙☎️07033310406 🎙☎️09050904565	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Aug 19 10:18:55 +0000 2020	1296028866885148672	1296028866885148672	COVID-19: Nigeria has 49,895 cases, 981 deaths#Sobi1019fm #Sobi1019fmIlorin #COVIDNigeria https://t.co/75soTxPLkb	False	<a href="https://www.hootsuite.com" rel="nofollow">Hootsuite Inc.</a>	None	None	None	None	None	None	None	None	None	881071149358206977	881071149358206977	Sobi 101.9FM	sobi101_9fm	Sobi Hill, Off Shao Rd, Ilorin	We are a one stop platform for entertainment, news, information & standard broadcast practice.   🎙☎️07033310406 🎙☎️09050904565	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
